ts,open,high,low,close,volume,volumeUSD,token,chain,previous_close
2021-12-01 16:00:00,58610.19,,58349.19,58664.4,684.59097634,40161118.8724003,BTC,BTC,266.967
2021-12-01 16:00:00,229.079,230.0,226.67,229.75799999999998,90074.604,20695360.865832,SOL,SOL,58664.4
2021-12-01 17:00:00,4730.09,4762.58,4696.78,4700.58,7708.98613628,36236706.05247504,ETH,ETH,282.34
2021-12-01 17:00:00,58664.4,,58445.53,58485.88,728.5150146000001,42607841.72209385,BTC,BTC,4700.58
2021-12-01 17:00:00,1.001,1.001,1.0008,1.001,3968395.85,3972364.2458499996,USDT,USDT,58485.88
2021-12-01 17:00:00,229.75799999999998,230.12,226.915,229.285,74614.15400000001,17107906.29989,SOL,SOL,2.6323000000000003
2021-12-01 18:00:00,1.001,1.001,1.0008,1.0009,4449053.24,4453057.387916,USDT,USDT,5.1396
2021-12-01 18:00:00,58485.88,58631.4,58007.24,58319.32,633.2398684,36930118.521977484,BTC,BTC,281.14
2021-12-01 18:00:00,229.285,,226.699,226.71400000000003,74123.72099999999,16804885.282794,SOL,SOL,58319.32
2021-12-01 18:00:00,4700.58,4713.94,4676.48,4677.98,7329.30095794,34286323.29522416,ETH,ETH,21.5183
2021-12-01 19:00:00,58037.52,58148.15,57423.59,57498.26,851.15240007,48939781.99884888,BTC,BTC,257.905
2021-12-01 19:00:00,4678.44,4696.66,,4651.82,9628.75471601,44791233.763029635,ETH,ETH,21.3482
2021-12-01 19:00:00,1.0008,1.0009,1.0007,1.0008,3995988.08,3999184.870464,USDT,USDT,278.96
2021-12-01 19:00:00,226.778,228.782,225.361,225.378,54569.303,12298720.371534,SOL,SOL,1.0008
2021-12-01 20:00:00,1.0008,,1.0006,1.0007,3004905.53,3007008.9638709994,USDT,USDT,225.378
2021-12-01 20:00:00,225.458,232.49200000000002,221.713,227.10250000000002,137311.84699999998,31183863.733317498,SOL,SOL,4.9655
2021-12-01 20:00:00,57503.89,,57016.26,57467.07,1209.44737631,69503397.0357231,BTC,BTC,277.7
2021-12-01 20:00:00,4652.67,4679.12,4600.0,4662.61,19948.53366209,93012232.53819746,ETH,ETH,21.3223
2021-12-01 21:00:00,4662.59,,4560.01,4568.12,23604.13724276,107826531.4213968,ETH,ETH,4662.61
2021-12-01 21:00:00,57467.08,,56640.0,56801.31,1075.8726032,61110973.254870184,BTC,BTC,4568.12
2021-12-01 21:00:00,230.28099999999998,231.157,224.22299999999998,225.102,147128.143,33118839.245586004,SOL,SOL,56801.31
2021-12-01 21:00:00,1.0007,1.0007,1.0005,1.0005,3777849.12,3779738.04456,USDT,USDT,272.19
2021-12-01 22:00:00,1.0005,1.0009,1.0005,1.0008,6657713.28,6663039.450623999,USDT,USDT,251.65599999999998
2021-12-01 22:00:00,225.09799999999998,,220.27,224.774,128822.841,28956025.262934,SOL,SOL,4.8615
2021-12-01 22:00:00,56793.33,57059.76,56465.75,57026.24,954.16871767,54412654.29434166,BTC,BTC,20.929000000000002
2021-12-01 22:00:00,4568.36,4598.34,4535.0,4567.88,17950.19298679,81994327.5404983,ETH,ETH,271.27
2021-12-01 23:00:00,57026.25,57201.48,56656.74,57107.93,828.59065105,47319096.89881783,BTC,BTC,20.9946
2021-12-01 23:00:00,4567.88,,4526.94,4567.69,8695.6726892,39719137.18573195,ETH,ETH,57107.93
2021-12-01 23:00:00,1.0008,1.0009,1.0005,0.010005,2967950.19,29694.34165095,USDT,USDT,4567.69
2021-12-01 23:00:00,224.787,,221.982,225.924,51775.545,11697338.22858,SOL,SOL,271.69
2021-12-02 00:00:00,57107.93,57286.38,57008.63,57226.5,468.44608658,26807529.97367037,BTC,BTC,272.1
2021-12-02 00:00:00,1.0005,1.0007,1.0005,1.0005,3451298.89,3453024.539445,USDT,USDT,20.9637
2021-12-02 00:00:00,4567.69,,4560.01,4586.95,5023.16059509,23040986.491648074,ETH,ETH,
2021-12-02 00:00:00,225.854,231.06,225.481,229.928,87882.839,20206725.405592002,SOL,SOL,4.9932
2021-12-02 01:00:00,4586.87,4589.34,4541.06,4581.68,7533.70958697,34517046.54042871,ETH,ETH,229.928
2021-12-02 01:00:00,57226.51,57239.89,56730.0,57064.04,386.33131686,22045625.718551714,BTC,BTC,4.9048
2021-12-02 01:00:00,229.928,230.43200000000002,224.78400000000002,228.94799999999998,116202.523,26604335.235804,SOL,SOL,57064.04
2021-12-02 01:00:00,1.0006,1.0007,1.0005,1.0007,2620479.8,2622314.13586,USDT,USDT,20.7961
2021-12-02 02:00:00,57061.93,57423.69,56828.46,57263.63,357.63868858,20479689.536530346,BTC,BTC,1.0007
2021-12-02 02:00:00,4581.09,4622.88,4551.72,4615.2,6433.51810511,29691972.75870367,ETH,ETH,57263.63
2021-12-02 02:00:00,1.0007,1.0009,1.0006,1.0008,3119542.84,3122038.4742719997,USDT,USDT,4.9586
2021-12-02 02:00:00,228.94799999999998,236.387,226.873,233.993,135296.426,31658416.609018,SOL,SOL,1.0008
2021-12-02 03:00:00,4615.2,4619.65,4566.44,4593.045,4970.46880477,22829586.891404826,ETH,ETH,249.558
2021-12-02 03:00:00,57262.98,57278.03,56888.0,56992.8,320.40804232,18260951.474335298,BTC,BTC,4593.045
2021-12-02 03:00:00,233.99200000000002,234.521,226.33599999999998,226.517,68743.507,15571572.975118998,SOL,SOL,21.3182
2021-12-02 03:00:00,1.0008,1.0009,1.0004,1.0008,3740339.77,3743332.041816,USDT,USDT,247.81099999999998
2021-12-02 04:00:00,56992.8,56992.8,55845.0,56350.99,1069.82551205,60285726.73127443,BTC,BTC,1.0008
2021-12-02 04:00:00,4580.86,,4455.21,4495.87,17203.1541617,77343144.70096217,ETH,ETH,56350.99
2021-12-02 04:00:00,226.53900000000002,227.02900000000002,,224.482,111922.069,25124489.893258,SOL,SOL,244.549
2021-12-02 04:00:00,1.0008,1.001,1.0007,1.001,4239482.23,4243721.71223,USDT,USDT,21.5582
2021-12-02 05:00:00,4495.27,4525.13,,4513.08,5340.57819733,24102456.650806077,ETH,ETH,4.7604
2021-12-02 05:00:00,224.49400000000003,,224.141,225.47799999999998,54200.545999999995,12221030.710987998,SOL,SOL,4.8507
2021-12-02 05:00:00,1.0009,,1.0009,1.001,2161440.01,2163601.4500099993,USDT,USDT,21.9231
2021-12-02 05:00:00,56351.22,56743.89,56270.25,56535.0,641.27845863,36254677.65864705,BTC,BTC,1.001
2021-12-02 06:00:00,225.463,226.657,222.95,223.30200000000002,36689.15,8192760.573300001,SOL,SOL,245.77200000000002
2021-12-02 06:00:00,56535.01,57023.59,,56963.08,713.29880116,40631696.674381174,BTC,BTC,271.65
2021-12-02 06:00:00,1.001,1.001,1.0007,1.0008499999999998,1873339.38,1874931.7184729995,USDT,USDT,56963.08
2021-12-02 06:00:00,4512.84,,4507.48,4528.88,4097.43732628,18556801.958242968,ETH,ETH,4.8173
2021-12-02 07:00:00,1.0009,,1.0008,1.0009,2117245.16,2119150.680644,USDT,USDT,22.5207
2021-12-02 07:00:00,56960.29,56961.22,56418.69,56705.6,199.84157919,11332136.652916463,BTC,BTC,1.0009
2021-12-02 07:00:00,4528.75,4540.42,4506.75,4539.69,2899.12124204,13161111.711276567,ETH,ETH,56705.6
2021-12-02 07:00:00,223.30200000000002,224.674,221.657,223.21099999999998,30639.664,6839110.041104,SOL,SOL,4539.69
2021-12-02 08:00:00,4539.69,,4538.9,4564.79,3602.98021915,16446848.074573727,ETH,ETH,245.58700000000002
2021-12-02 08:00:00,56705.6,57008.52,56613.81,56863.51,610.08248199,34691431.315463185,BTC,BTC,4564.79
2021-12-02 08:00:00,1.0009,1.0009,1.0004,1.0009,3207432.99,3210319.679691,USDT,USDT,2.46716
2021-12-02 08:00:00,223.331,225.72,222.87099999999998,223.047,25722.127999999997,5737243.484015999,SOL,SOL,270.89
2021-12-02 09:00:00,56861.4,57228.28,,57010.93,623.05889003,35521166.76537803,BTC,BTC,4.9599
2021-12-02 09:00:00,223.095,228.949,222.701,228.303,19952.41,4555195.06023,SOL,SOL,57010.93
2021-12-02 09:00:00,1.0008,1.001,1.0008,1.0008,1681571.89,1682917.1475119998,USDT,USDT,228.303
2021-12-02 09:00:00,4564.14,4603.03,4559.0,4581.014999999999,2567.74716804,11762888.29299876,ETH,ETH,1.0008
2021-12-02 10:00:00,57013.13,57147.94,56624.17,56739.42,196.96275251,11175552.339020943,BTC,BTC,246.763
2021-12-02 10:00:00,1.0009,1.0009,1.0008,1.0009,1893703.22,1895407.5528979998,USDT,USDT,270.66
2021-12-02 10:00:00,228.25799999999998,229.89,226.64,227.48,19739.262,4490287.319759999,SOL,SOL,1.0009
2021-12-02 10:00:00,4589.64,4603.83,4553.99,4582.28,2030.53940788,9304500.117940366,ETH,ETH,22.5515
2021-12-02 11:00:00,1.0009,1.0009,1.0008,1.0008,938707.55,939458.51604,USDT,USDT,269.85
2021-12-02 11:00:00,227.50799999999998,,226.19,227.887,19256.027,4388198.2249489995,SOL,SOL,1.0008
2021-12-02 11:00:00,56739.49,,56435.9,56582.72,417.59795515,23628828.168825008,BTC,BTC,227.887
2021-12-02 11:00:00,4582.28,4596.85,4541.44,4559.53,2778.94159392,12670667.565726057,ETH,ETH,22.5674
2021-12-02 12:00:00,1.0009,1.0009,1.0008,1.0009,1112728.37,1113729.825533,USDT,USDT,269.83
2021-12-02 12:00:00,227.935,,224.285,227.00599999999997,26719.455,6065476.601729999,SOL,SOL,1.0009
2021-12-02 12:00:00,56585.32,,,56351.04,453.01513466,25527873.973831046,BTC,BTC,22.4633
2021-12-02 12:00:00,4559.68,4566.77,,4535.63,5780.73180261,26219260.585871994,ETH,ETH,56351.04
2021-12-02 13:00:00,56354.75,56644.89,56070.0,56577.59,420.71496197,23803038.62520425,BTC,BTC,4535.63
2021-12-02 13:00:00,226.889,227.523,223.516,225.16,53500.449,12046161.09684,SOL,SOL,22.4207
2021-12-02 13:00:00,1.0009,1.0009,1.0008,1.0009,1407886.66,1409153.7579939999,USDT,USDT,225.16
2021-12-02 13:00:00,4534.7,4553.17,4504.32,4540.78,5317.48772908,24145541.930451877,ETH,ETH,4.8401
2021-12-02 14:00:00,4540.3,4546.3,,,4468.94071867,,ETH,ETH,4540.78
2021-12-02 14:00:00,1.0008,1.0009,1.0007,1.0009,1342917.66,1344126.2858939997,USDT,USDT,4.8307
2021-12-02 14:00:00,56577.59,56674.28,56119.14,56497.92,480.25676415,27133508.240405567,BTC,BTC,1.0009
2021-12-02 14:00:00,225.178,226.025,222.0,223.301,40092.225,8952633.934725,SOL,SOL,271.6
2021-12-02 15:00:00,1.0008,1.0009,1.0007,1.0008,1965179.1,1966751.2432799998,USDT,USDT,4.8983
2021-12-02 15:00:00,56497.92,57228.03,56360.72,57142.61,693.30385546,39617191.824047156,BTC,BTC,273.36
2021-12-02 15:00:00,4535.85,4598.52,4508.74,4594.03,12522.64567646,57529409.91702753,ETH,ETH,57142.61
2021-12-02 15:00:00,223.28799999999998,229.215,222.519,229.12900000000002,72582.579,16630773.743691001,SOL,SOL,245.16400000000002
2021-12-02 16:00:00,57149.92,57414.93,56160.0,56559.49,684.53374017,38716879.23180771,BTC,BTC,229.12900000000002
2021-12-02 16:00:00,229.12,232.295,,229.642,83366.964,19144556.346888002,SOL,SOL,4.7747
2021-12-02 16:00:00,1.0008,1.0009,,1.0007,2544995.46,2546776.956822,USDT,USDT,22.9051
2021-12-02 16:00:00,4593.46,4637.39,4504.44,4547.54,13912.68511273,63268492.05754418,ETH,ETH,242.957
2021-12-02 17:00:00,1.0008,,1.0007,1.0007,3001950.97,3004052.335679,USDT,USDT,22.5245
2021-12-02 17:00:00,4547.64,4559.97,,4485.94,10257.43710976,46014247.42815677,ETH,ETH,4.7212
2021-12-02 17:00:00,56559.49,,56055.19,56362.82,852.8739337999999,48070380.013461314,BTC,BTC,243.095
2021-12-02 17:00:00,229.61700000000002,232.812,225.0,228.90900000000002,78346.929,17934317.170461003,SOL,SOL,56362.82
2021-12-02 18:00:00,56365.21,56712.96,56300.0,56610.74,797.76918502,45162303.913179114,BTC,BTC,228.90900000000002
2021-12-02 18:00:00,1.0008,1.0012,1.0007,1.0008,2595150.69,2597226.8105519996,USDT,USDT,22.4826
2021-12-02 18:00:00,4485.38,4511.42,4477.97,4496.25,10540.44275871,47392465.753849834,ETH,ETH,1.0008
2021-12-02 18:00:00,228.912,,227.68400000000003,230.22099999999998,63986.732,14731089.427771999,SOL,SOL,243.99
2021-12-02 19:00:00,56613.75,56787.73,56158.82,56755.0,618.61496317,35109492.23471335,BTC,BTC,243.34599999999998
2021-12-02 19:00:00,4496.68,4498.15,4435.0,4483.59,12659.70726129,56760936.87964723,ETH,ETH,22.3953
2021-12-02 19:00:00,1.0007,,1.0007,1.0008,3144506.32,3147021.925056,USDT,USDT,4483.59
2021-12-02 19:00:00,230.273,233.99099999999999,227.683,230.837,60694.019,14010425.263903,SOL,SOL,270.29
2021-12-02 20:00:00,1.0008,1.0009,1.0007,1.0007,3892732.26,3895457.1725819996,USDT,USDT,22.4126
2021-12-02 20:00:00,56755.0,56980.0,56530.96,56637.87,571.95397768,32394255.03382274,BTC,BTC,1.0007
2021-12-02 20:00:00,233.82,235.9,233.114,234.196,79287.62,18568843.45352,SOL,SOL,268.85
2021-12-02 20:00:00,4483.57,,4476.16,4490.75,7955.84756534,35727722.45405061,ETH,ETH,242.18
2021-12-02 21:00:00,1.0008,1.0008,1.0006,1.0007,2906325.96,2908360.3881719997,USDT,USDT,4.7451
2021-12-02 21:00:00,56637.87,57289.0,56569.03,57075.1,754.77160894,43078665.05741139,BTC,BTC,22.6922
2021-12-02 21:00:00,4490.8,4544.04,4472.59,4539.06,9404.59512981,42688021.569915384,ETH,ETH,57075.1
2021-12-02 21:00:00,234.18099999999998,239.98,233.204,239.935,108595.635,26055893.683725,SOL,SOL,4539.06
2021-12-02 22:00:00,4539.51,4556.45,4522.88,4546.65,7666.39880884,34856432.14421239,ETH,ETH,245.47
2021-12-02 22:00:00,239.979,,237.442,242.123,178216.62600000002,43150344.136998005,SOL,SOL,4546.65
2021-12-02 22:00:00,1.0008,1.0009,1.0007,1.0009,3271852.82,3274797.4875379996,USDT,USDT,242.123
2021-12-02 22:00:00,57075.1,57084.1,56829.78,56905.81,313.98151848,17867372.634134367,BTC,BTC,272.03
2021-12-02 23:00:00,4546.65,4559.84,4525.0,4545.07,5521.36183622,25094976.040948436,ETH,ETH,56905.81
2021-12-02 23:00:00,56904.65,56952.81,56639.49,5688883.0,382.17921379,2174172832.2832966,BTC,BTC,4545.07
2021-12-02 23:00:00,1.0008,1.001,1.0008,1.0009,3668003.04,3671304.2427359996,USDT,USDT,22.6133
2021-12-02 23:00:00,242.09900000000002,243.287,237.122,238.201,107155.54,25524556.78354,SOL,SOL,1.0009
2021-12-03 00:00:00,4545.07,4556.33,4500.0,4514.59,6447.13101877,29106153.226028856,ETH,ETH,4.7806
2021-12-03 00:00:00,56888.83,56952.42,56395.08,56673.75,408.92619072,23175380.7013176,BTC,BTC,244.97400000000002
2021-12-03 00:00:00,1.0008,1.0009,1.0006,1.0006,2109473.53,2110739.2141179997,USDT,USDT,56673.75
2021-12-03 00:00:00,238.301,,231.82299999999998,233.845,128350.45300000001,30014111.681785002,SOL,SOL,1.0006
2021-12-03 01:00:00,56521.45,56812.95,56459.87,56569.29,357.01859656,20196288.52419564,BTC,BTC,244.361
2021-12-03 01:00:00,1.0007,1.0008,1.0005,1.0007,2339998.47,2341636.468929,USDT,USDT,4.743
2021-12-03 01:00:00,233.808,236.541,230.732,231.65400000000002,77197.527,17883115.919658,SOL,SOL,
2021-12-03 01:00:00,4514.54,4550.0,4506.63,4520.01,3767.56065349,17029411.829381336,ETH,ETH,231.65400000000002
2021-12-03 02:00:00,1.0007,,,1.0008,2471813.21,2473790.660568,USDT,USDT,4520.01
2021-12-03 02:00:00,4520.05,4539.69,4500.75,4518.2,3626.10533594,16383469.128844107,ETH,ETH,22.7085
2021-12-03 02:00:00,231.607,234.13299999999998,228.743,230.886,61575.12,14216833.15632,SOL,SOL,4518.2
2021-12-03 02:00:00,56569.3,56762.82,56425.99,56545.98,238.58470768,13491006.108779127,BTC,BTC,230.886
2021-12-03 03:00:00,4518.57,4530.41,4473.59,4492.97,3628.98766121,16304932.692186695,ETH,ETH,22.2938
2021-12-03 03:00:00,230.81900000000002,231.933,226.657,228.483,44695.207,10212094.980981,SOL,SOL,4492.97
2021-12-03 03:00:00,56544.28,56624.0,56111.0,56301.44,436.23009034,24560382.25747209,BTC,BTC,228.483
2021-12-03 03:00:00,1.0007,1.0008,,1.0008,3224313.99,3226893.4411919997,USDT,USDT,242.9545
2021-12-03 04:00:00,1.0007,1.0008,1.0007,1.0008,1787259.24,1788689.0473919997,USDT,USDT,4.6343
2021-12-03 04:00:00,56305.03,56587.3,56136.15,56361.725000000006,309.50534439,17444255.106539477,BTC,BTC,1.0008
2021-12-03 04:00:00,228.483,230.774,226.56900000000002,230.239,44054.053,10142961.108667,SOL,SOL,240.266
2021-12-03 04:00:00,4493.4,,4481.93,4496.66,4071.21397653,18306865.039703388,ETH,ETH,4.5835
2021-12-03 05:00:00,1.0008,1.0008,,1.0008,1878074.42,1879576.8795359998,USDT,USDT,22.0176
2021-12-03 05:00:00,56368.16,56737.55,56300.11,56625.54,281.08882772,15916806.657611968,BTC,BTC,1.0008
2021-12-03 05:00:00,4496.02,4544.07,4492.77,4533.61,3832.40169997,17374614.67100099,ETH,ETH,22.118000000000002
2021-12-03 05:00:00,230.25799999999998,231.81599999999997,229.359,230.09799999999998,47456.225,10919582.460049998,SOL,SOL,4533.61
2021-12-03 06:00:00,4533.61,4575.91,4517.4,4573.25,3960.97293545,18114519.477046713,ETH,ETH,4.6575
2021-12-03 06:00:00,1.0007,1.0008,,1.0008,2336320.68,2338189.736544,USDT,USDT,22.0372
2021-12-03 06:00:00,56625.08,57073.9,56454.3,56780.42,365.55505534,20756369.575328443,BTC,BTC,1.0008
2021-12-03 06:00:00,230.08700000000002,231.835,228.421,231.136,36147.711,8355037.329696001,SOL,SOL,271.24
2021-12-03 07:00:00,4572.33,4595.96,4560.73,4584.35,3303.42149909,15144040.349353243,ETH,ETH,271.99
2021-12-03 07:00:00,231.108,,231.108,234.59799999999998,36248.902,8503919.911396,SOL,SOL,22.0818
2021-12-03 07:00:00,56780.41,57017.65,56733.07,56900.0,263.49699044,14992978.756036,BTC,BTC,234.59799999999998
2021-12-03 07:00:00,1.0008,1.0008,1.0007,1.0008,1188277.61,1189228.232088,USDT,USDT,56900.0
2021-12-03 08:00:00,4584.34,4588.03,4548.06,45.7227,2468.8209535,112881.15981059446,ETH,ETH,1.0008
2021-12-03 08:00:00,234.543,234.606,231.86,232.68599999999998,25815.287999999997,6006856.103567999,SOL,SOL,21.759
2021-12-03 08:00:00,56900.0,56998.56,56687.59,56789.0,183.52727881,10422330.636341091,BTC,BTC,232.68599999999998
2021-12-03 08:00:00,1.0007,1.0008,1.0007,1.0007,1110037.08,1110814.105956,USDT,USDT,243.50400000000002
2021-12-03 09:00:00,4572.43,4579.34,4548.12,4563.73,1419.52093153,6478310.2608514065,ETH,ETH,4.6304
2021-12-03 09:00:00,56790.59,,56454.27,56629.9,161.69731193,9156902.604864707,BTC,BTC,4563.73
2021-12-03 09:00:00,232.69099999999997,232.889,230.01,232.195,29521.347,6854709.166665,SOL,SOL,270.94
2021-12-03 09:00:00,1.0008,,1.0007,1.0009,957367.13,958228.7604169999,USDT,USDT,232.195
2021-12-03 10:00:00,232.206,234.73,231.132,234.55200000000002,20548.826,4819768.235952001,SOL,SOL,242.521
2021-12-03 10:00:00,1.0009,1.0009,1.0007,1.0007,912677.04,913315.913928,USDT,USDT,21.8479
2021-12-03 10:00:00,4563.3,4586.84,,4582.04,1615.05098866,7400228.232079666,ETH,ETH,1.0007
2021-12-03 10:00:00,56626.12,56897.0,56476.16,56871.69,174.83277604,9943035.440786308,BTC,BTC,243.55900000000003
